000	00002533511016939571
001	11828776962630186262
002	13869028427331074653
003	12437425286557283159
004	07777810098906178856
005	04476637450590956875
006	11563110450707733646
007	17475388847663621257
008	18265686680396382992
009	13406597037340091500
010	07554691883828704070
011	11931677725112160019
012	12085459547866400518
013	08500768916669905063
014	06924215985364723518
015	07926684206678313411
016	08181359776017649298
017	09543938512707773412
018	04472689508812700478
019	11850742862117294127
020	01853638112840535480
021	00552486900566417592
022	05529196162266490898
023	15750678663285899270
024	00214079862645290184
025	08206686043244357801
026	05694618767577557130
027	16735143260299175645
028	11749495914912068578
029	14065126550794563183
030	17659399722834787072
031	14503208958919073023
032	10451595307706835519
033	17423856999429146778
034	00228416422732771114
035	03872372598884818785
036	13130606412606074423
037	14215237524716391812
038	00716450219686921404
039	03068237488524414274
040	11277714488923116660
041	02902809335485674773
042	06276094788037692306
043	03747086867005615190
044	07143353769197210722
045	01190927146302762301
046	13417647208651973978
047	03212254883964249245
048	10430169557494316243
049	15088061512535072755
050	00744533139867996114
051	13568056556992929435
052	02954442828647344639
053	07526663688756257432
054	05218743346272351331
055	17453704038438777016
056	11749064273673806729
057	12772413254039129178
058	12816467396760224491
059	16642359401046645936
060	04073317779284558798
061	15512008650564676342
062	06227056439279303104
063	02090494890897727041
064	13104077415068319717
065	17996654227463214501
066	12546712787035102673
067	02841220750662945990
068	15701733662285077699
069	12791509878340958554
070	09974857635472387045
071	12854955715158028068
072	00035878981755933672
073	04630986359275048312
074	18354978100172652291
075	15713399802501064353
076	08617531097502545035
077	08509649061063241959
078	17086706747340901610
079	16064004410540206986
080	17936260560273721503
081	14374895309151978147
082	16902757018112756965
083	06745799125516917377
084	13378630275673278756
085	05758061661596572857
086	09528810062006463215
087	11004301916075231085
088	01152960013492785778
089	02693494122770909914
090	01241519038548191559
091	05583861214946619302
092	01194044171888327058
093	04814787142835903344
094	08183861202803930973
095	04913000636866469821
096	16187211916379812777
097	01610424365223265504
098	13523675675967260102
099	07747282333075361695
100	11326870023029851965
101	13325339228785640671
102	04538751800365676536
103	03710708109457227177
104	06493033227324211082
105	14975619917798146791
106	06012539565779773805
107	11917626875242116888
108	18286729315795692719
109	17918328944623134039
110	12887204261815822993
111	14322004241745334337
112	04963931873055186736
113	07064351275646271678
114	08452347187678100716
115	01194874710140763193
116	02067702213050830042
117	01598832564463597391
118	17621020079484104796
119	13348738986007862179
120	03995844965706169442
121	11543943145657386435
122	17138006729666153444
123	05790750292284802655
124	06855018269512352124
125	18377872270360927247
126	17936286213422340251
127	07330003282959391178
128	13389333689641101951
129	07857357933311698309
130	05444515871416781434
131	14228732278160644833
132	12842682362814304273
133	09758125518951808780
134	13208872476596396909
135	16372821276857932844
136	10887389400719790936
137	03582038583006769653
138	12880591170554333077
139	04461671461046257308
140	01727896304944758854
141	07874850843329098739
142	09579178758362328783
143	01110848324356220498
144	14472132097942736037
145	13657605204719873828
146	07080159604995413396
147	17952607776270047344
148	18201294403675373580
149	12435209410291774576
150	08740200805451626114
151	18324105399762803315
152	10188952549591019823
153	06273652423137630680
154	04658387011818499737
155	04054312939983361736
156	17633824061128280674
157	04073625782337938586
158	10984920152364412899
159	14981696616319338912
160	16676008315605529989
161	08139121434940249634
162	07051728028641575202
163	06188508104888675214
164	02497547402501689799
165	06265373805677109106
166	13072049017130178396
167	17776576349528704371
168	10312510368646046367
169	15252762746332705575
170	13704941979355098790
171	13254842543266815033
172	04635849400355568082
173	07973008061746382903
174	11442454944226231910
175	09731336762902612301
176	04838249893063811032
177	04858472533773857392
178	02135146987043985958
179	09306477225715075892
180	14037465532413773284
181	03012133839681783164
182	04593588156691353361
183	10910848196793247496
184	11085313983295903561
185	07318782891472463091
186	07509478574673516592
187	00328148714639425813
188	09088802545979907459
189	04006257175468510633
190	13772427475827530630
191	02891879305153794334
192	07222630925462420110
193	04805369036060078046
